"ff_id","name_en","name_es","equipment","match_confidence","match_score","dataset_id","dataset_name","media_id","has_instructions_es","can_enrich_description"
"ff_abs_machine_seated_leg_raise_crunch","Machine Seated Leg Raise Crunch","Crunch con elevación de piernas en máquina","Machine","high","0.95","0600","lever seated leg raise crunch","PQ2AtC3","True","True"
"ff_back_machine_pullover","Machine Pullover","Pullover en máquina","Machine","high","0.95","2285","lever pullover","4U7iLb5","True","True"
"ff_chest_low_to_high_cable_fly","Low To High Cable Fly","Cruce bajo a alto en polea","Cable","high","0.95","0179","cable low fly","FVmZVhk","True","True"
"ff_back_lat_pulldown_machine","Lat Pulldown Machine","Jalón al pecho en máquina","Machine","high","0.95","2330","cable lat pulldown full range of motion","LEprlgG","True","True"
"ff_cf_bar_pullover","Bar Pull Over","Pull over en barra","Bodyweight","high","0.95","0631","muscle up","yJUHKTn","True","False"
"ff_cf_muscle_up","Muscle Up","Muscle up","Bodyweight","high","0.95","0631","muscle up","yJUHKTn","True","False"
"ff_legs_plate_loaded_leg_press","Plate Loaded Leg Press","Prensa de piernas con discos","Machine","high","0.95","0739","sled 45в° leg press","10Z2DXU","True","False"
"ff_legs_leg_press_machine","Leg Press Machine","Prensa de piernas","Machine","high","0.95","0739","sled 45в° leg press","10Z2DXU","True","True"
"ff_legs_leg_extension_machine","Leg Extension Machine","Extensión de piernas en máquina","Machine","high","0.95","0585","lever leg extension","my33uHU","True","True"
"ff_back_romanian_deadlift","Barbell Romanian Deadlift","Peso muerto rumano con barra","Barbell","high","0.95","0085","barbell romanian deadlift","wQ2c4XD","True","False"
"ff_back_t_bar_row","T Bar Row","Remo T-Bar","Barbell","high","0.95","0248","cambered bar lying row","R5swFnc","True","True"
"ff_cardio_swimming","Swimming","Natación","Outdoor","high","0.95","3433","swimmer kicks v. 2 (male)","SP3hUez","True","True"
"ff_glutes_sumo_deadlift","Barbell Sumo Deadlift","Peso muerto sumo con barra","Barbell","high","0.95","0117","barbell sumo deadlift","KgI0tqW","True","False"
"ff_cardio_treadmill","Treadmill","Caminadora","Cardio machine","high","0.95","3666","walking on incline treadmill","rjiM4L3","True","True"
"ff_calves_toe_walk","Toe Walk","Caminata en puntas","Bodyweight","high","0.95","1407","calf push stretch with hands against wall","PzNxakt","True","True"
"ff_back_t_bar_row_machine","T Bar Row Machine","Remo T-Bar en máquina","Machine","high","0.95","0606","lever t bar row","aaXr7ld","True","False"
"ff_triceps_reverse_grip_pushdown","Reverse Grip Tricep Pushdown","Jalón de tríceps en agarre invertido","Cable","high","0.95","2406","cable reverse grip triceps pushdown (sz-bar) (with arm blaster)","ThKP69G","True","False"
"ff_cardio_stepmill","StepMill","Escaleras infinitas","Cardio machine","high","0.95","2311","walking on stepmill","j9Q5crt","True","True"
"ff_legs_step_up","Step Up","Subida al cajón","Dumbbell","high","0.95","0431","dumbbell step-up","aXtJhlg","True","True"
"ff_cardio_stationary_bike","Stationary Bike","Bicicleta estática","Cardio machine","high","0.95","2138","stationary bike run v. 3","H1PESYI","True","True"
"ff_triceps_straight_bar_pushdown","Straight Bar Pushdown","Jalón de tríceps con barra recta","Cable","high","0.95","0241","cable triceps pushdown (v-bar)","gAwDzB3","True","True"
"ff_back_straight_arm_cable_pulldown","Cable Pull Down","Jalón en polea","Cable","high","0.95","0238","cable straight arm pulldown","x69MAlq","True","False"
"ff_legs_stiff_leg_deadlift","Stiff Leg Deadlift","Peso muerto piernas rígidas","Barbell","high","0.95","1009","band stiff leg deadlift","kuMiR2T","True","True"
"ff_forearms_barbell_wrist_curl","Barbell Wrist Curl","Curl de muñeca con barra","Barbell","high","0.95","0126","barbell wrist curl","82LxxkW","True","False"
"ff_forearms_dumbbell_reverse_wrist_curl","Dumbbell Reverse Wrist Curl","Curl inverso de muñeca con mancuernas","Dumbbell","high","0.95","0385","dumbbell reverse wrist curl","BLCvwr2","True","False"
"ff_forearms_dumbbell_wrist_curl","Dumbbell Wrist Curl","Curl de muñeca con mancuernas","Dumbbell","high","0.95","0401","dumbbell seated palms up wrist curl","2dImyQ8","True","False"
"ff_forearms_wrist_roller","Wrist Roller","Rueda de antebrazo","Machine","high","0.95","0859","wrist rollerer","bd5b860","True","False"
"ff_forearms_cable_wrist_curl","Cable Wrist Curl","Curl de muñeca en polea","Cable","high","0.95","0247","cable wrist curl","LrV4s90","True","False"
"ff_forearms_barbell_reverse_wrist_curl","Barbell Reverse Wrist Curl","Curl inverso de muñeca con barra","Barbell","high","0.95","0082","barbell reverse wrist curl","LsZkfU6","True","False"
"ff_back_wide_grip_lat_pulldown_machine","Wide Grip Lat Pulldown Machine","Jalón abierto al pecho en máquina","Machine","high","0.95","0818","twin handle parallel grip lat pulldown","rkg41Fb","True","True"
"ff_triceps_v_bar_pushdown","V Bar Pushdown","Jalón de tríceps con barra V","Cable","high","0.95","0241","cable triceps pushdown (v-bar)","gAwDzB3","True","True"
"ff_shoulders_upright_row","Upright Row","Remo al mentón con barra","Barbell","high","0.95","0120","barbell upright row","UDlhcO8","True","True"
"ff_triceps_triceps_extension_machine","Triceps Extension Machine","Extensión de tríceps en máquina","Machine","high","0.95","0607","lever triceps extension","Ser9eQp","True","True"
"ff_shoulders_wall_walk","Wall Walk","Caminata de pared","Bodyweight","high","0.95","0658","push-up (wall) v. 2","NCmbLCw","True","True"
"ff_legs_walking_lunge","Walking Lunge","Zancada caminando","Dumbbell","high","0.95","1460","walking lunge","IZVHb27","True","True"
"ff_legs_v_squat_machine","V Squat Machine","V-Squat en máquina","Machine","high","0.95","0743","sled hack squat","Qa55kX1","True","True"
"ff_triceps_single_arm_cable_pushdown","Single Arm Cable Pushdown","Jalón unilateral de tríceps en polea","Cable","high","0.95","1723","cable one arm tricep pushdown","qRZ5S1N","True","True"
"ff_back_high_cable_row","High Cable Row","Remo alto en polea","Cable","high","0.95","0193","cable one arm straight back high row (kneeling)","WrYPP2g","True","False"
"ff_back_seated_cable_row","Seated Cable Row","Remo sentado en polea","Cable","high","0.95","0180","cable low seated row","hvV79Si","True","True"
"ff_calves_single_leg_calf_raise","Single Leg Calf Raise","Elevación unilateral de pantorrilla","Bodyweight","high","0.95","0999","band single leg calf raise","9JprnPh","True","True"
"ff_triceps_single_arm_overhead_dumbbell_extension","Single Arm Overhead Dumbbell Extension","Extensión unilateral sobre cabeza con mancuerna","Dumbbell","high","0.95","1735","dumbbell lying single extension","6MfS53i","True","True"
"ff_shoulders_single_arm_dumbbell_lateral_raise","Single Arm Dumbbell Lateral Raise","Elevación lateral unilateral con mancuerna","Dumbbell","high","0.95","0355","dumbbell one arm lateral raise","n5cWCsI","True","True"
"ff_shoulders_seated_barbell_overhead_press","Seated Barbell Overhead Press","Press militar sentado con barra","Barbell","high","0.95","0091","barbell seated overhead press","kTbSH9h","True","True"
"ff_biceps_rope_hammer_curl","Rope Hammer Curl","Curl martillo con cuerda en polea","Cable","high","0.95","0165","cable hammer curl (with rope)","HPlPoQA","True","True"
"ff_glutes_romanian_deadlift","Romanian Deadlift","Peso muerto rumano","Barbell","high","0.95","0085","barbell romanian deadlift","wQ2c4XD","True","True"
"ff_legs_romanian_deadlift","Romanian Deadlift","Peso muerto rumano","Barbell","high","0.95","0085","barbell romanian deadlift","wQ2c4XD","True","True"
"ff_back_scapular_pull_up","Scapular Pull Up","Dominada escapular","Bodyweight","high","0.95","0688","scapular pull-up","uTBt1HV","True","True"
"ff_abs_russian_twist","Russian Twist","Giros rusos","Bodyweight","high","0.95","0687","russian twist","XVDdcoj","True","True"
"ff_triceps_rope_pushdown","Rope Pushdown","Jalón de tríceps con cuerda","Cable","high","0.95","0200","cable pushdown (with rope attachment)","dU605di","True","True"
"ff_cardio_stair_climber","Stair Climber","Escaladora","Cardio machine","high","0.95","2311","walking on stepmill","j9Q5crt","True","True"
"ff_legs_smith_machine_squat","Smith Machine Squat","Sentadilla en máquina Smith","Smith Machine","high","0.95","0770","smith squat","jFtipLl","True","True"
"ff_shoulders_smith_machine_shoulder_press","Smith Machine Shoulder Press","Press de hombro en máquina Smith","Smith Machine","high","0.95","0766","smith shoulder press","903mzG8","True","True"
"ff_calves_standing_calf_raise_machine","Standing Calf Raise Machine","Elevación de pantorrilla de pie en máquina","Machine","high","0.95","0605","lever standing calf raise","ykUOVze","True","True"
"ff_calves_standing_calf_raise","Standing Calf Raise","Elevación de pantorrilla de pie","Bodyweight","high","0.95","1490","standing calf raise (on a staircase)","6HmFgmx","True","True"
"ff_chest_standing_cable_chest_press","Standing Cable Chest Press","Press de pecho de pie en polea","Cable","high","0.95","0227","cable standing fly","Pr9Rhf4","True","True"
"ff_chest_smith_machine_incline_bench_press","Smith Machine Incline Bench Press","Press inclinado en máquina Smith","Smith Machine","high","0.95","0757","smith incline bench press","5v7KYld","True","True"
"ff_abs_sit_up","Sit-Up","Abdominal completo","Bodyweight","high","0.95","0282","decline sit-up","QLL2gdc","True","True"
"ff_glutes_single_leg_glute_bridge","Single Leg Glute Bridge","Puente de glúteo unilateral","Bodyweight","high","0.95","3645","single leg bridge with outstretched leg","rmEukuS","True","True"
"ff_calves_single_leg_dumbbell_calf_raise","Single Leg Dumbbell Calf Raise","Elevación unilateral de pantorrilla con mancuerna","Dumbbell","high","0.95","0409","dumbbell single leg calf raise","1kB3Wmk","True","True"
"ff_chest_smith_machine_bench_press","Smith Machine Bench Press","Press banca en máquina Smith","Smith Machine","high","0.95","0748","smith bench press","trqKQv2","True","True"
"ff_triceps_skull_crusher","Skull Crusher","Rompecráneos con barra","Barbell","high","0.95","0060","barbell lying triceps extension skull crusher","h8LFzo9","True","True"
"ff_cardio_ski_erg","Ski Erg","Ski ergómetro","Cardio machine","high","0.95","2142","ski ergometer","vpQaQkH","True","False"
"ff_cf_dumbbell_thruster","Dumbbell Thruster","Thruster con mancuernas","Dumbbell","high","0.95","1700","dumbbell push press","FS63wTN","True","False"
"ff_abs_cable_seated_twist","Cable Seated Twist","Giro sentado en polea","Cable","high","0.95","2399","cable seated twist","UEjSrKI","True","True"
"ff_abs_cable_reverse_crunch","Cable Reverse Crunch","Crunch inverso en polea","Cable","high","0.95","0873","cable reverse crunch","RqOtqD7","True","True"
"ff_shoulders_cable_rear_delt_fly","Cable Rear Delt Fly","Apertura posterior en polea","Cable","high","0.95","0202","cable rear delt row (stirrups)","yUdIGNs","True","True"
"ff_triceps_cable_triceps_kickback","Cable Triceps Kickback","Patada de tríceps en polea","Cable","high","0.95","0860","cable kickback","HEJ6DIX","True","True"
"ff_abs_cable_standing_crunch","Cable Standing Crunch","Crunch de pie en polea","Cable","high","0.95","0226","cable standing crunch","jpgqxiS","True","True"
"ff_abs_cable_side_bend","Cable Side Bend","Flexión lateral en polea","Cable","high","0.95","0222","cable side bend","wPypxFY","True","True"
"ff_back_cable_pullover","Cable Pullover","Pullover en polea","Cable","high","0.95","0184","cable lying extension pullover (with rope attachment)","Q2Eu1Ax","True","True"
"ff_chest_cable_fly","Cable Fly","Aperturas en polea","Cable","high","0.95","0227","cable standing fly","Pr9Rhf4","True","True"
"ff_biceps_cable_curl","Cable Curl","Curl de bíceps en polea","Cable","high","0.95","0868","cable curl","G08RZcQ","True","True"
"ff_abs_cable_crunch","Cable Crunch","Crunch en polea","Cable","high","0.95","0175","cable kneeling crunch","WW95auq","True","True"
"ff_glutes_cable_pull_through","Cable Pull Through","Pull through en polea","Cable","high","0.95","0196","cable pull through (with rope)","OM46QHm","True","True"
"ff_shoulders_cable_lateral_raise","Cable Lateral Raises (Single Arm)","Elevaciones laterales con cable (un solo brazo)","Cable","high","0.95","0178","cable lateral raise","goJ6ezq","True","False"
"ff_shoulders_cable_front_raise","Cable Front Raise","Elevación frontal en polea","Cable","high","0.95","0162","cable front raise","u2X71Np","True","True"
"ff_biceps_close_grip_chin_up","Close Grip Chin Up","Dominada supina cerrada","Bodyweight","high","0.95","1327","close grip chin-up","VnfUNW7","True","True"
"ff_triceps_close_grip_bench_press","Close Grip Bench Press","Press banca agarre cerrado","Barbell","high","0.95","2432","ez-bar close-grip bench press","da4cXST","True","True"
"ff_biceps_chin_up","Chin Up","Dominada supina","Bodyweight","high","0.95","1326","chin-up","T2mxWqc","True","True"
"ff_legs_cossack_squat","Cossack Squat","Sentadilla Cossack","Bodyweight","high","0.95","3643","weighted cossack squats (male)","GWoKnIm","True","True"
"ff_biceps_concentration_curl","Concentration Curl","Curl de concentración","Dumbbell","high","0.95","0297","dumbbell concentration curl","gvsWLQw","True","True"
"ff_back_close_grip_lat_pulldown_machine","Close Grip Lat Pulldown Machine","Jalón cerrado al pecho en máquina","Machine","high","0.95","0673","reverse grip machine lat pulldown","ecpY0rH","True","True"
"ff_back_chin_up","Chin Up","Dominada supina","Bodyweight","high","0.95","1326","chin-up","T2mxWqc","True","True"
"ff_chest_chest_press_machine","Chest Press Machine","Press de pecho en máquina","Machine","high","0.95","1301","machine inner chest press","wDN97Ca","True","True"
"ff_abs_captain_s_chair_leg_raise","Captain's Chair Leg Raise","Elevación de piernas en silla romana","Machine","high","0.95","2963","captains chair straight leg raise","weoDEpH","True","True"
"ff_abs_cable_wood_chop","Cable Wood Chop","Leñador en polea","Cable","high","0.95","0862","cable twist (up-down)","fhZQPlV","True","True"
"ff_back_barbell_incline_row","Barbell Incline Row","Remo inclinado con barra","Barbell","high","0.95","0049","barbell incline row","dmgMp3n","True","False"
"ff_back_dumbbell_incline_row","Dumbbell Incline Row","Remo inclinado con mancuernas","Dumbbell","high","0.95","0327","dumbbell incline row","7vG5o25","True","False"
"ff_back_chest_supported_dumbbell_row","Chest Supported Dumbbell Row","Remo con mancuernas pecho apoyado","Dumbbell","high","0.95","0293","dumbbell bent over row","BJ0Hz5L","True","True"
"ff_back_assisted_pull_up_machine","Assisted Pull Up Machine","Dominada asistida en máquina","Machine","high","0.95","0017","assisted pull-up","kiJ4Z2K","True","True"
"ff_triceps_assisted_dip_machine","Assisted Dip Machine","Fondos asistidos en máquina","Machine","high","0.95","0019","assisted triceps dip (kneeling)","J60bN17","True","True"
"ff_back_assisted_chin_up_machine","Assisted Chin Up Machine","Chin up asistido en máquina","Machine","high","0.95","0572","lever assisted chin-up","MaMuGH6","True","True"
"ff_chest_barbell_bench_press","Barbell Bench Press","Press banca con barra","Barbell","high","0.95","0025","barbell bench press","EIeI8Vf","True","True"
"ff_legs_back_squat","Back Squat","Sentadilla trasera con barra","Barbell","high","0.95","1461","barbell full squat (back pov)","DhMl549","True","True"
"ff_back_australian_pull_up","Australian Pull Up","Dominada australiana","Bodyweight","high","0.95","0499","inverted row","bZGHsAZ","True","True"
"ff_shoulders_arnold_press","Arnold Press","Press Arnold","Dumbbell","high","0.95","2137","dumbbell arnold press","Xy4jlWA","True","True"
"ff_legs_air_squat","Air Squat","Sentadilla libre sin peso","Bodyweight","high","0.95","1685","squat to overhead reach","QChZi3x","True","True"
"ff_abs_ab_wheel_rollout","Ab Wheel Rollout","Rueda abdominal","Bodyweight","high","0.95","0857","wheel rollerout","NAgVB3t","True","True"
"ff_abs_ab_crunch_machine","Ab Crunch Machine","Crunch abdominal en máquina","Machine","high","0.95","0595","lever seated crunch (chest pad)","ZnJHhMk","True","True"
"ff_chest_archer_push_up","Archer Push Up","Flexión arquero","Bodyweight","high","0.95","3294","archer push up","A9qxk2F","True","True"
"ff_cardio_arc_trainer","Arc Trainer","Arc Trainer","Cardio machine","high","0.95","2331","cycle cross trainer","XSCHmiI","True","True"
"ff_biceps_alternating_dumbbell_curl","Alternating Dumbbell Curl","Curl alterno con mancuernas","Dumbbell","high","0.95","1649","dumbbell alternating bicep curl with leg raised on exercise ball","Zwiw7XR","True","True"
"ff_abs_bicycle_crunch","Bicycle Crunch","Crunch bicicleta","Bodyweight","high","0.95","0972","band bicycle crunch","tZkGYZ9","True","True"
"ff_triceps_bench_dip","Bench Dip","Fondos en banco","Bodyweight","high","0.95","0129","bench dip (knees bent)","RrLske5","True","True"
"ff_biceps_bayesian_cable_curl","Bayesian Curl","Curl bayesiano","Cable","high","0.95","0868","cable curl","G08RZcQ","True","False"
"ff_legs_bulgarian_split_squat","Bulgarian Split Squat","Sentadilla búlgara","Dumbbell","high","0.95","2812","dumbbell step-up split squat","QjE2DcA","True","True"
"ff_triceps_bodyweight_triceps_extension","Bodyweight Triceps Extension","Extensión de tríceps con peso corporal","Bodyweight","high","0.95","1771","bodyweight kneeling triceps extension","s0HKO2I","True","True"
"ff_biceps_bodyweight_biceps_curl","Bodyweight Biceps Curl","Curl de bíceps con peso corporal","Bodyweight","high","0.95","1769","bodyweight side lying biceps curl","gscGLOU","True","True"
"ff_calves_barbell_standing_calf_raise","Barbell Standing Calf Raise","Elevación de pantorrilla con barra","Barbell","high","0.95","1372","barbell standing calf raise","8ozhUIZ","True","True"
"ff_shoulders_barbell_overhead_press","Barbell Standing Military Press","Press militar de pie con barra","Barbell","high","0.95","1456","barbell standing close grip military press","wdRZISl","True","False"
"ff_glutes_barbell_glute_bridge","Barbell Glute Bridge","Puente de glúteo con barra","Barbell","high","0.95","1409","barbell glute bridge","qKBpF7I","True","True"
"ff_biceps_barbell_curl","Barbell Curl","Curl de bíceps con barra","Barbell","high","0.95","0023","barbell alternate biceps curl","Yza7XrQ","True","True"
"ff_back_smith_machine_bent_over_row","Smith Machine Bent Over Row","Remo inclinado en máquina Smith","Smith Machine","high","0.95","1359","smith bent over row","ZX9UZmj","True","False"
"ff_back_barbell_row","Barbell Bent Over Row","Remo inclinado con barra","Barbell","high","0.95","0027","barbell bent over row","eZyBC3j","True","False"
"ff_chest_barbell_pullover","Barbell Pullover","Pullover con barra","Barbell","high","0.95","1316","barbell bent arm pullover","cA9FuWG","True","True"
"ff_abs_crunch","Crunch","Crunch abdominal","Bodyweight","high","0.95","0274","crunch floor","TFqbd8t","True","True"
"ff_shoulders_handstand_push_up","Handstand Push Up","Flexión vertical de manos","Bodyweight","high","0.95","3302","handstand","XooAdhl","True","True"
"ff_biceps_hammer_curl","Hammer Bicep Curl","Curl martillo de bíceps con mancuernas","Dumbbell","high","0.95","1646","dumbbell alternate hammer preacher curl","fy7Tgy4","True","False"
"ff_legs_goblet_squat","Goblet Squat","Sentadilla goblet","Dumbbell","high","0.95","1760","dumbbell goblet squat","yn8yg1r","True","True"
"ff_abs_hanging_leg_raise","Hanging Leg Raise","Elevación de piernas colgado","Bodyweight","high","0.95","0472","hanging leg raise","I3tsCnC","True","True"
"ff_back_high_row_machine","High Row Machine","Remo alto en máquina","Machine","high","0.95","0581","lever high row","nZZZy9m","True","True"
"ff_biceps_high_cable_curl","High Cable Curl","Curl alto en polea","Cable","high","0.95","1636","cable overhead curl","wDUqY2u","True","True"
"ff_chest_hex_dumbbell_press","Hex Dumbbell Press","Press hexagonal con mancuernas","Dumbbell","high","0.95","0352","dumbbell neutral grip bench press","pP8wP2P","True","True"
"ff_triceps_ez_bar_skull_crusher","EZ Bar Skull Crusher","Rompecráneos con barra EZ","Barbell","high","0.95","0060","barbell lying triceps extension skull crusher","h8LFzo9","True","True"
"ff_biceps_ez_bar_curl","EZ Bar Curl","Curl de bíceps con barra EZ","Barbell","high","0.95","2404","ez-bar biceps curl (with arm blaster)","tJ5nYqo","True","True"
"ff_cardio_elliptical_trainer","Elliptical Trainer","Elíptica","Cardio machine","high","0.95","2141","walk elliptical cross trainer","rjtuP6X","True","True"
"ff_glutes_fire_hydrant","Fire Hydrant","Fire hydrant","Bodyweight","high","0.95","1423","reverse hyper on flat bench","OrETs32","True","True"
"ff_glutes_glute_bridge","Glute Bridge","Puente de glúteo","Bodyweight","high","0.95","3561","glute bridge march","GibBPPg","True","True"
"ff_legs_front_squat","Barbell Front Squat","Sentadilla frontal con barra","Barbell","high","0.95","0042","barbell front squat","zG0zs85","True","False"
"ff_glutes_frog_pump","Frog Pump","Frog pump","Bodyweight","high","0.95","2571","rocking frog stretch","2Dk4xQV","True","True"
"ff_cardio_jump_rope","Jump Rope","Saltar cuerda","Outdoor","high","0.95","2612","jump rope","e1e76I2","True","True"
"ff_triceps_jm_press","JM Press","JM press","Barbell","high","0.95","0052","barbell jm bench press","ZsiqXYa","True","True"
"ff_back_inverted_row","Inverted Row","Remo invertido","Bodyweight","high","0.95","0499","inverted row","bZGHsAZ","True","True"
"ff_legs_jump_squat","Jump Squat","Sentadilla con salto","Bodyweight","high","0.95","0514","jump squat","LIlE5Tn","True","True"
"ff_cf_thruster","Barbell Thruster","Thruster con barra","Barbell","high","0.95","3305","barbell thruster","f7Y9eDZ","True","False"
"ff_cf_wall_ball","Wall Ball Shot","Lanzamiento al muro (wall ball)","Medicine ball","high","0.95","1353","medicine ball catch and overhead throw","PsVS1QP","True","False"
"ff_cf_burpee","Burpee","Burpee","Bodyweight","high","0.95","1160","burpee","dK9394r","True","False"
"ff_glutes_hip_abductor_machine","Hip Abductor Machine","Abducción de cadera en máquina","Machine","high","0.95","0597","lever seated hip abduction","CHpahtl","True","True"
"ff_cardio_hiking","Hiking","Senderismo","Outdoor","high","0.95","1460","walking lunge","IZVHb27","True","True"
